2023-11-15 17:27:57.2538–TRACE–– Start Custom script schedule.
2023-11-15 17:27:57.2538–TRACE–- Currently on iteration : 0
2023-11-15 17:27:57.2538–TRACE–– Enter A-0 step.
2023-11-15 17:27:57.2538–TRACE–- Currently on A_1 initial iteration: 
2023-11-15 17:28:05.9690–TRACE–2023/11/15 17:28:05:9689| 0| COM88| R | CommandID     49| FA0104350B0D0A
2023-11-15 17:28:05.9690–TRACE–2023/11/15 17:28:05:9785| 0| COM88| S | CommandID     50| FA52020405
2023-11-15 17:28:06.0090–TRACE–2023/11/15 17:28:06:0090| 0| COM88| R | CommandID     50| FA020412130D0A
2023-11-15 17:28:06.0151–TRACE–2023/11/15 17:28:06:0150| 0| COM88| S | CommandID     51| FA52030405
2023-11-15 17:28:06.0333–TRACE–2023/11/15 17:28:06:0333| 0| COM88| R | CommandID     51| FA03044E4C0D0A
2023-11-15 17:28:06.0333–TRACE–2023/11/15 17:28:06:0388| 0| COM88| S | CommandID     52| FA52010501
2023-11-15 17:28:06.0648–TRACE–2023/11/15 17:28:06:0648| 0| COM88| R | CommandID     52| FA010401480D0A
2023-11-15 17:28:06.0648–TRACE–2023/11/15 17:28:06:0690| 0| COM88| S | CommandID     53| FA52030501
2023-11-15 17:28:06.0929–TRACE–2023/11/15 17:28:06:0929| 0| COM88| R | CommandID     53| FA0304014C0D0A
2023-11-15 17:28:06.0929–TRACE–2023/11/15 17:28:06:0965| 0| COM88| S | CommandID     54| FA52020501
2023-11-15 17:28:06.1340–TRACE–2023/11/15 17:28:06:1340| 0| COM88| R | CommandID     54| FA020401440D0A
2023-11-15 17:28:08.2813–TRACE–2023/11/15 17:28:08:2813| 0| COM88| S | CommandID     55| FA52010002
2023-11-15 17:28:08.2970–TRACE–2023/11/15 17:28:08:2970| 0| COM88| R | CommandID     55| FA010403040D0A
2023-11-15 17:28:08.2970–TRACE–2023/11/15 17:28:08:3030| 0| COM88| S | CommandID     56| FA52020002
2023-11-15 17:28:08.3291–TRACE–2023/11/15 17:28:08:3291| 0| COM88| R | CommandID     56| FA020403040D0A
2023-11-15 17:28:08.3291–TRACE–2023/11/15 17:28:08:3334| 0| COM88| S | CommandID     57| FA52030002
2023-11-15 17:28:08.3589–TRACE–2023/11/15 17:28:08:3589| 0| COM88| R | CommandID     57| FA030403040D0A
2023-11-15 17:28:08.3781–TRACE–2023/11/15 17:28:08:3781| 0| COM88| S | CommandID     58| FA52010001
