*Time,*Loop,*Phase,*Blockloop,*PowerMode,*Send_CMD,*Receive_CMD
2023/12/29 11:53:06:0566,,,,NULL,FA 52 03 04 01,
2023/12/29 11:53:06:8655,,,,NULL,FA 52 01 06 01,
2023/12/29 11:53:07:0028,,,,NULL,FA 52 02 06 01,
2023/12/29 11:53:07:1168,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:53:08:9215,,,,NULL,FA 52 01 04 01,
2023/12/29 11:53:09:0481,,,,NULL,FA 52 02 04 01,
2023/12/29 11:53:09:1718,,,,NULL,FA 52 03 04 01,
2023/12/29 11:53:10:0674,,,,NULL,FA 52 01 06 01,
2023/12/29 11:53:10:2131,,,,NULL,FA 52 02 06 01,
2023/12/29 11:53:10:3487,1,B-1,0,NULL,FA 52 03 06 01,
2023/12/29 11:54:16:6262,,,,NULL,FA 52 03 04 01,
2023/12/29 11:54:17:6091,,,,NULL,FA 52 01 06 01,
2023/12/29 11:54:17:7552,,,,NULL,FA 52 02 06 01,
2023/12/29 11:54:17:8899,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:54:19:7724,,,,NULL,FA 52 01 04 01,
2023/12/29 11:54:19:8773,,,,NULL,FA 52 02 04 01,
2023/12/29 11:54:20:0132,,,,NULL,FA 52 03 04 01,
2023/12/29 11:54:21:0502,,,,NULL,FA 52 01 06 01,
2023/12/29 11:54:21:1741,,,,NULL,FA 52 02 06 01,
2023/12/29 11:54:21:2976,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:54:22:9021,,,,NULL,FA 52 01 04 01,
2023/12/29 11:54:23:0598,,,,NULL,FA 52 02 04 01,
2023/12/29 11:54:23:1944,,,,NULL,FA 52 03 04 01,
2023/12/29 11:54:24:1646,,,,NULL,FA 52 01 06 01,
2023/12/29 11:54:24:3319,,,,NULL,FA 52 02 06 01,
2023/12/29 11:54:24:4685,1,B-1,1,NULL,FA 52 03 06 01,
2023/12/29 11:54:26:0909,,,,NULL,FA 52 01 04 01,
2023/12/29 11:54:26:2210,,,,NULL,FA 52 02 04 01,
2023/12/29 11:54:26:3534,,,,NULL,FA 52 03 04 01,
2023/12/29 11:54:27:3230,,,,NULL,FA 52 01 06 01,
2023/12/29 11:54:27:4679,,,,NULL,FA 52 02 06 01,
2023/12/29 11:54:27:6125,1,B-1,1,NULL,FA 52 03 06 01,
